category,item_key,name,qty,notes,aliexpress_url,amazon_url,pcbway_url,other_urls,all_urls
Electrical Components,0001-1202-power-dist-pcb,0001-1202 Power_Dist-PCB,1,Power Distrivbution PCB - PCB Files availible for Clubmembers,https://www.pcbway.com/project/shareproject/Quadruped_PCB_v1_0_3a5d3450.html,,,,https://www.pcbway.com/project/shareproject/Quadruped_PCB_v1_0_3a5d3450.html
Electrical Components,servo-motors,Servo Motors,12,"180 degrees, 35kg (Approx 49.5x20,2x40mm)",https://s.click.aliexpress.com/e/_c3oYCwzH,https://geni.us/niJrcJn,,,https://s.click.aliexpress.com/e/_c3oYCwzH | https://geni.us/niJrcJn
Electrical Components,servo-motors-alternative,Servo Motors (Alternative),12,Budget friendly alternative.,https://s.click.aliexpress.com/e/_c355UoGD,https://geni.us/RV1IBB,,,https://s.click.aliexpress.com/e/_c355UoGD | https://geni.us/RV1IBB
Electrical Components,servo-motors-alternative-2,Servo Motors (Alternative),12,Budget friendly alternative.,https://s.click.aliexpress.com/e/_c4nKdy0D,,,,https://s.click.aliexpress.com/e/_c4nKdy0D
Electrical Components,raspberry-pi-4-model-b,Raspberry Pi 4 Model B,1,8gb Ram,https://s.click.aliexpress.com/e/_c3vHe6u7,https://geni.us/j51XYY,,,https://s.click.aliexpress.com/e/_c3vHe6u7 | https://geni.us/j51XYY
Electrical Components,lipo-battery,LiPo Battery,1,4000mAh 4S 45~90C Lipo Pack w/XT-90,https://s.click.aliexpress.com/e/_c3RFa1Cf,https://geni.us/4H2lJ,,,https://s.click.aliexpress.com/e/_c3RFa1Cf | https://geni.us/4H2lJ
Electrical Components,imu,IMU,1,Integrated Measuring Unit,https://s.click.aliexpress.com/e/_c3RY5ql9,https://geni.us/GV5tKTw,,https://core-electronics.com.au/speaker-pcb-mount.html,https://s.click.aliexpress.com/e/_c3RY5ql9 | https://geni.us/GV5tKTw | https://core-electronics.com.au/speaker-pcb-mount.html
Electrical Components,raspberry-pi-breakout-board,Raspberry Pi Breakout Board,1,Made by Dfrobot,https://s.click.aliexpress.com/e/_c3qH7iyL,https://geni.us/MbTbrQP,,,https://s.click.aliexpress.com/e/_c3qH7iyL | https://geni.us/MbTbrQP
Electrical Components,fan,Fan,2,60x60 12v,https://s.click.aliexpress.com/e/_c2yKau2J,https://geni.us/bTXZ0,,,https://s.click.aliexpress.com/e/_c2yKau2J | https://geni.us/bTXZ0
Electrical Components,servo-driver-pca9685,Servo Driver PCA9685,1,Communication via I2C interface,https://s.click.aliexpress.com/e/_c4WSVNR5,https://geni.us/AAHBTxq,,,https://s.click.aliexpress.com/e/_c4WSVNR5 | https://geni.us/AAHBTxq
Electrical Components,arduino-nano,Arduino Nano,1,"For IMU, Battery sensing, LCD screen",https://s.click.aliexpress.com/e/_c4lOubMf,https://geni.us/aKQfQgw,,,https://s.click.aliexpress.com/e/_c4lOubMf | https://geni.us/aKQfQgw
